application_name	business_name	business_address	address_url	application_type	application_url	pdf_path	markdown_path	ds	latitude	longitude	address_inferred	postal_code
New York State Liquor License Application Reviews	Cannonball LLC	295 Front	https://goo.gl/maps/zikRAwNcgkZnXxZp8	New		agendas/2023_01_04_HESS_agenda.pdf	agenda_markdowns/2023_01_04_HESS_agenda.md	2023-01-04	40.7025079	-73.9814804	295, Front Street, Dumbo, Brooklyn, Kings County, City of New York, New York, 11201, United States	11201
New York State Liquor License Application Reviews	Real Hospitality Group	85 Flatbush	https://g.page/TillaryHotelBrooklyn?share	New		agendas/2023_01_04_HESS_agenda.pdf	agenda_markdowns/2023_01_04_HESS_agenda.md	2023-01-04	40.6966011	-73.9845337	The Tillary Hotel, 85, Flatbush Avenue Extension, Downtown Brooklyn, Brooklyn, Kings County, City of New York, New York, 11201, United States	11201
New York State Liquor License Application Reviews	Olympia Wine Bar	54 Jay	https://goo.gl/maps/HaCAipucuc7y2bdz7	Renewal		agendas/2023_01_04_HESS_agenda.pdf	agenda_markdowns/2023_01_04_HESS_agenda.md	2023-01-04	40.7032744	-73.9868763	54, Jay Street, Dumbo, Brooklyn, Kings County, City of New York, New York, 11201, United States	11201
New York State Liquor License Application Reviews	EastVille Comedy Club	487 Atlantic	https://goo.gl/maps/ucLs9s6e87ZugSxU6	Renewal		agendas/2023_01_04_HESS_agenda.pdf	agenda_markdowns/2023_01_04_HESS_agenda.md	2023-01-04	40.6859068	-73.9816185	487, Atlantic Avenue, Boerum Hill, Brooklyn, Kings County, City of New York, New York, 11217, United States	11217
New York State Liquor License Application Reviews	Fancy Free	71 Lafayette	https://goo.gl/maps/6vw6b3RRDvMRKNmYA	Renewal		agendas/2023_01_04_HESS_agenda.pdf	agenda_markdowns/2023_01_04_HESS_agenda.md	2023-01-04	40.6873602	-73.9754669	71, Lafayette Avenue, Fort Greene, Brooklyn, Kings County, City of New York, New York, 11217, United States	11217
New York State Liquor License Application Reviews	Peaches Prime @ Gotham Market	590 Fulton	https://goo.gl/maps/tpZb93vo7hpRxFax8	Renewal		agendas/2023_01_04_HESS_agenda.pdf	agenda_markdowns/2023_01_04_HESS_agenda.md	2023-01-04	40.688123	-73.979194	590, Fulton Street, Fort Greene, Brooklyn, Kings County, City of New York, New York, 11217, United States	11217
New York State Liquor License Application Reviews	1 Hotel ETC	60 Furman	https://goo.gl/maps/wzKv1W2rb4W9W6DA9	Renewal		agendas/2023_01_04_HESS_agenda.pdf	agenda_markdowns/2023_01_04_HESS_agenda.md	2023-01-04	40.7022571	-73.9955518	1 Hotel Brooklyn Bridge, 60, Furman Street, Dumbo, Brooklyn, Kings County, City of New York, New York, 11201, United States	11201
New York State Liquor License Application Reviews	Bonchon	68 Willoughby	https://goo.gl/maps/8jZvwLaQp2WPwiTX9	Renewal		agendas/2023_01_04_HESS_agenda.pdf	agenda_markdowns/2023_01_04_HESS_agenda.md	2023-01-04	40.6920783	-73.9859254	Bonchon, 68, Willoughby Street, Downtown Brooklyn, Brooklyn, Kings County, City of New York, New York, 11201, United States	11201
New York State Liquor License Application Reviews	Golfzon Social	11 Hoyt	https://goo.gl/maps/E3qumdSbCm1Zr3hd9	NY State Liquor License Applications		agendas/2023_03_01_HESS_agenda.pdf	agenda_markdowns/2023_03_01_HESS_agenda.md	2023-03-01	40.6897868	-73.9853461	11, Hoyt Street, Downtown Brooklyn, Brooklyn, Kings County, City of New York, New York, 11201, United States	11201
New York State Liquor License Application Reviews	Slutty Vegan, Inc.	690 Fulton	https://goo.gl/maps/Fc2WhT3ZLWmvpg8a6	NY State Liquor License Applications		agendas/2023_03_01_HESS_agenda.pdf	agenda_markdowns/2023_03_01_HESS_agenda.md	2023-03-01	40.6861038	-73.974261	Slutty Vegan, 690, Fulton Street, Fort Greene, Brooklyn, Kings County, City of New York, New York, 11217, United States	11217
