	markdown_path	ds	markdown_snippet	snippet_type
0	agenda_markdowns/2023_01_04_HESS_agenda.md	2023-01-04	"Lenue H. Singletary, III Chairperson

<!-- image -->

Antonio Reynoso 19th Borough President of Brooklyn

<!-- image -->"	Snippet
1	agenda_markdowns/2023_01_04_HESS_agenda.md	2023-01-04	"MEETING NOTICE

Committee:

Health, Environment & Social Services Committee

Leadership:

Brandon Smith (Chair), Nicole McKnight (Vice Chair), Jessica Thurston (Secretary)

Members:

Emily Anadu, Victor Andrews, Akosua Cobb, Monique Cumberbatch,

Lindsay Einhorn, Jeffrey Ryan, Alejandro Varela

The next meeting of the committee will be held as follows:

Date:

Wednesday, January 04, 2023

Time:

6:00 p.m.

Location:

fully remote/online via [Zoom link](https://us06web.zoom.us/j/87170796294?pwd=azA1TWNnVXNGSzBpN1BXamNVMHZNQT09)"	Snippet
2	agenda_markdowns/2023_01_04_HESS_agenda.md	2023-01-04	"7. PRESENTATION and PUBLIC Q&A:
   - [Heights & Hills](https://www.heightsandhills.org/) - 'Opportunities to Support Brooklyn's Older Adults'
   - Megan Nelson, Caregiver Program Director"	Snippet
3	agenda_markdowns/2023_01_04_HESS_agenda.md	2023-01-04	"NEW APPLICATIONS / Full Liquor, Wine, Beer & Cider:

- ● [295 Front](https://goo.gl/maps/zikRAwNcgkZnXxZp8)
  - Cannonball LLC
- ● [85 Flatbush](https://g.page/TillaryHotelBrooklyn?share)
  - Real Hospitality Group"	Snippet
4	agenda_markdowns/2023_01_04_HESS_agenda.md	2023-01-04	"ADMINISTRATIVE REVIEW:

- ● Renewals / Full Liquor, Wine, Beer & Cider:
  - ○ [54 Jay](https://goo.gl/maps/HaCAipucuc7y2bdz7)
    - Olympia Wine Bar
  - ○ [487 Atlantic](https://goo.gl/maps/ucLs9s6e87ZugSxU6)
    - EastVille Comedy Club
  - ○ [71 Lafayette](https://goo.gl/maps/6vw6b3RRDvMRKNmYA)
    - Fancy Free
  - ○ [590 Fulton](https://goo.gl/maps/tpZb93vo7hpRxFax8)
    - Peaches Prime @ Gotham Market
  - ○ [60 Furman](https://goo.gl/maps/wzKv1W2rb4W9W6DA9)
    - 1 Hotel ETC

- ● Renewals / Wine, Beer & Cider:
  - ○ [68 Willoughby](https://goo.gl/maps/8jZvwLaQp2WPwiTX9)
    - Bonchon"	Snippet
5	agenda_markdowns/2023_02_01_HESS_agenda.md	2023-02-01	"CITY OF NEW YORK Brooklyn Community Board No. 2

Lenue H. Singletary, III Chairperson

Eric L. Adams 110th Mayor of New York City

Antonio Reynoso 19th Borough President of Brooklyn"	Snippet
6	agenda_markdowns/2023_02_01_HESS_agenda.md	2023-02-01	"MEETING NOTICE

**Committee:** Health, Environment & Social Services Committee

**Leadership:** Brandon Smith (Chair), Nicole McKnight (Vice Chair), Jessica Thurston (Secretary)

**Members:** Emily Anadu, Victor Andrews, Akosua Cobb, Monique Cumberbatch, Lindsay Einhorn, Jeffrey Ryan, Alejandro Varela

The next meeting of the committee will be held as follows:

**Date:** Wednesday, February 01, 2023

**Time:** 6:00 p.m.

**Location:** fully remote/online via [Zoom link](https://us06web.zoom.us/j/89372547871?pwd=ZzJwU0tnKzdzckhhQldxd2pQeGFMQT09)"	Snippet
7	agenda_markdowns/2023_02_01_HESS_agenda.md	2023-02-01	"7. PRESENTATION and PUBLIC Q&A: [Unincarcerate America](https://www.unincarcerateamerica.org/)
   
   Provider Application submitted to [NY Office of Addiction Services & Supports (OASAS)](https://oasas.ny.gov/)  
   Keynell Deas, Vice President (UA)  
   Maliki Cottrell, Treasurer (UA)"	Snippet
8	agenda_markdowns/2023_03_01_HESS_agenda.md	2023-03-01	"CITY OF NEW YORK Brooklyn Community Board No. 2

Eric L. Adams 110th Mayor of New York City

Lenue H. Singletary, III Chairperson

Antonio Reynoso 19th Borough President of Brooklyn"	Snippet
9	agenda_markdowns/2023_03_01_HESS_agenda.md	2023-03-01	"MEETING NOTICE

Committee:  
**Health, Environment & Social Services Committee**

Leadership:  
Brandon Smith (Chair), Nicole McKnight (Vice Chair), Jessica Thurston (Secretary)  
Emily Anadu, Victor Andrews, Akosua Cobb, Monique Cumberbatch,  
Lindsay Einhorn, Jeffrey Ryan, Alejandro Varela

The next meeting of the committee will be held as follows:

Date:  
**Wednesday, March 01, 2023**

Time:  
6:00 p.m.

Location:  
fully remote/online via [Zoom link](https://zoom.us/j/96180385984?pwd=dDFrODhycFUzbC8rNTNWb1Nxd3ZLZz09)"	Snippet
10	agenda_markdowns/2023_03_01_HESS_agenda.md	2023-03-01	"7. Presentation & Public Q&A: [New Directions Treatment Program](https://newdirectionsbrooklyn.com/)  
   Carol Morrison LCSW, CASAC Master Counselor (Director)  
   Maia Briggman (Coordinator of Community Outreach)"	Snippet
11	agenda_markdowns/2023_03_01_HESS_agenda.md	2023-03-01	"8. New York State Liquor License Application Reviews  
   *For Recommendation to the [New York State Liquor Authority](https://sla.ny.gov/)*
   - ● [11 Hoyt](https://goo.gl/maps/E3qumdSbCm1Zr3hd9)  
     Golfzon Social
   - ● [690 Fulton](https://goo.gl/maps/Fc2WhT3ZLWmvpg8a6)  
     Slutty Vegan, Inc.
   - ● [117 Adams](https://www.google.com/maps/place/117+Adams+St,+Brooklyn,+NY+11201/@40.7005529,-73.9904775,16z/data=!4m7!3m6!1s0x89c25a341f4739bf:0xfa09c6aae4d9922c!8m2!3d40.7005529!4d-73.9882888!15sCgkxMTcgQWRhbXOSARBnZW9jb2RlZF9hZGRyZXNz4AEA!16s%2Fg%2F11c1y911fn?coh=164777&entry=tt)  
     Wonder Beach
   - ● [479 Atlantic](https://goo.gl/maps/2hn3pzpPaBhTABmb9)  
     Haley's (Jack's Place)"	Snippet
12	agenda_markdowns/2023_04_05_HESS_agenda.md	2023-04-05	"CITY OF NEW YORK Brooklyn Community Board No. 2

Lenue H. Singletary, III Chairperson

Eric L. Adams 110th Mayor of New York City

Antonio Reynoso 19th Borough President of Brooklyn"	Snippet
13	agenda_markdowns/2023_04_05_HESS_agenda.md	2023-04-05	"MEETING NOTICE

Committee:  Health, Environment & Social Services Committee

Leadership:  Brandon Smith (Chair), Nicole McKnight (Vice Chair), Jessica Thurston (Secretary)

Members: Emily Anadu, Victor Andrews, Akosua Cobb, Monique Cumberbatch, Lindsay Einhorn, Jeffrey Ryan, Alejandro Varela

The next meeting of the committee will be held as follows:

Date:  Wednesday, April 05, 2023

Time:  6:00 p.m.

Location:  fully remote/online via [Zoom link](https://zoom.us/j/92109784686?pwd=OHJBQmU2Y0Uwdm10bHBEUW9BVVd4UT09)"	Snippet
14	agenda_markdowns/2023_04_05_HESS_agenda.md	2023-04-05	"7. New York State Liquor License Application Reviews

   For Recommendation to the [New York State Liquor Authority](https://sla.ny.gov/)

   **Full Liquor, Wine, Beer & Cider:**

   - ● [117 Adams](https://www.google.com/maps/place/117+Adams+St,+Brooklyn,+NY+11201/@40.7005529,-73.9904775,16z/data=!4m7!3m6!1s0x89c25a341f4739bf:0xfa09c6aae4d9922c!8m2!3d40.7005529!4d-73.9882888!15sCgkxMTcgQWRhbXOSARBnZW9jb2RlZF9hZGRyZXNz4AEA!16s%2Fg%2F11c1y911fn?coh=164777&entry=tt) Ippudo NY, LLC
   - ● [690 Fulton](https://goo.gl/maps/Fc2WhT3ZLWmvpg8a6) Slutty Vegan, Inc.
   - ● [47 Hall](https://goo.gl/maps/9iYbvkUn6gFJ93PB9) Edward Dean DBA Brogans

   **Change In Method of Operation:**

   - ● [229 Livingston](https://goo.gl/maps/KW29AUoNiZAaUY6F7) Jennifer Bistro Inc

   **Wine, Beer & Cider:**

   - ● [143 Greene](https://goo.gl/maps) Chef Katsu Brooklyn
   - ● [44 Pearl](https://goo.gl/maps) Hudson Wilder"	Snippet
15	agenda_markdowns/2023_05_03_HESS_agenda.md	2023-05-03	"MEETING NOTICE

**Committee:** Health, Environment & Social Services Committee

**Leadership:** Brandon Smith (Chair), Nicole McKnight (Vice Chair), Jessica Thurston (Secretary) Emily Anadu, Victor Andrews, Akosua Cobb, Monique Cumberbatch, Lindsay Einhorn, Jeffrey Ryan, Alejandro Varela

**Members:**

The next meeting of the committee will be held as follows:

**Date:** Wednesday, May 03, 2023

**Time:** 6:00 p.m.

**Location:** fully remote/online via [Zoom link](https://zoom.us/j/95682842648?pwd=K1VLNGp3a2FtZGFXTFl0WXJVV3ZVQT09)"	Snippet
16	agenda_markdowns/2023_05_03_HESS_agenda.md	2023-05-03	"6. New York State Liquor License Application Reviews

_For Recommendation to the [New York State Liquor Authority](https://sla.ny.gov/)_

**Full Liquor, Wine, Beer & Cider:**

- ● [63 Lafayette](https://goo.gl/maps/524MDJNodddBePkg9) - FG OD LLC

**Wine, Beer & Cider:**

- ● [284 Grand / 318 Lafayette](https://goo.gl/maps/e1GowCXLKUJj1RrD6) - Choice Market

**Beer & Cider:**

- ● [445 Albee Square West](https://goo.gl/maps/zABzNLXcTgjtncTb8) - Dekalb Pizzeria"	Snippet
17	agenda_markdowns/2023_05_03_HESS_agenda.md	2023-05-03	"11. Adjourn

B. Smith                                                         B. Smith

J. Thurston"	Snippet
18	agenda_markdowns/2023_06_07_HESS_agenda.md	2023-06-07	"Lenue H. Singletary, III Chairperson

<!-- image -->

Antonio Reynoso 19th Borough President of Brooklyn

<!-- image -->"	Snippet
19	agenda_markdowns/2023_06_07_HESS_agenda.md	2023-06-07	"MEETING NOTICE

Committee:

Health, Environment & Social Services Committee

Leadership:

Brandon Smith (Chair), Nicole McKnight (Vice Chair), Jessica Thurston (Secretary)

Members:

Jannett Akent, Clara Alston, Emily Anadu, Akosua Cobb, Monique Cumberbatch, Jeffrey Ryan, Alejandro Varela

The next meeting of the committee will be held as follows:

Date:

Wednesday, June 07, 2023

Time:

6:00 p.m.

Location:

fully remote/online via [Zoom link](https://zoom.us/j/93462172277?pwd=WHh2RHhubGFYbERWSytuUEhpZ09aUT09)"	Snippet
20	agenda_markdowns/2023_06_07_HESS_agenda.md	2023-06-07	"6. PRESENTATION & PUBLIC Q&A:

[Acacia Network](https://acacianetwork.org/housing-services/) - Change of [DSS Provider](https://www.nyc.gov/site/dss/index.page) for [316 Atlantic](https://drive.google.com/file/d/19WPI5aF-Jxf0JNVR4sIKO_KZSoIhHagf/view?usp=share_link)

Alfredo Matthews, Senior Vice President (Acacia Network)

Jessica McGhee, Assistant Vice President (Acacia Network)

Stephanie Bennett, Program Coordinator (Acacia Network)"	Snippet
21	agenda_markdowns/2023_06_07_HESS_agenda.md	2023-06-07	"Wine, Beer & Cider:

- a. [150 Smith](https://goo.gl/maps/vCNnUwbzB8mdcggb8) / La Rose

  [public documents](https://drive.google.com/file/d/1M0wWztaNdkdz41wbW1PmGeralFv1WwTq/view?usp=share_link)

- b. [82 Washington](https://goo.gl/maps/v137ygbU84NkBeoL9) / Le Petit Monstre

  NONE SUBMITTED"	Snippet
